Nom_Voie,Nom_Voie_Nomalise
AIRE,AIRE
ALLEE,ALL
AVENUE,AV
BASE,BASE
BOULEVARD,BD
CAMI,CAMI
CARREFOUR,CAR
CHEMIN,CHE
CHEMINEMENT,CHEM
CHAUSSEE,CHS
CITE,CITE
CLOS,CLOS
COIN,COIN
CORNICHE,COR
COTE,COTE
COUR,COUR
COURS,CRS
DOMAINE,DOM
DESCENTE,DSC
ECART,ECA
ESPLANADE,ESP
FAUBOURG,FG
GARE,GARE
GRANDE RUE,GR
HAMEAU,HAM
HALLE,HLE
ILOT,ILOT
IMPASSE,IMP
LIEU DIT,LD
LOTISSEMENT,LOT
MARCHE,MAR
MONTEE,MTE
PARC,PARC
PASSAGE,PAS
PLACE,PL
PLAN,PLAN
PLAINE,PLN
PLATEAU,PLT
PONT,PONT
PORT,PORT
PROMENADE,PRO
PARVIS,PRV
QUARTIER,QUA
QUAI,QUAI
RESIDENCE,RES
RUELLE,RLE
ROCADE,ROC
ROND POINT,RPT
ROUTE,RTE
RUE ,RUE
SENTIER,SEN
SQUARE,SQ
TOUR,TOUR
TERRE PLEIN,TPL
TRAVERSE,TRA
VILLA,VLA
VILLAGE,VLGE
VOIE,VOIE
ZONE ARTISANALE,ZA
ZONE D AMENAGEMENT CONCERTE,ZAC
ZONE D AMENAGEMENT DIFFERE,ZAD
ZONE INDUSTRIELLE,ZI
ZONE,ZONE
